Siglum	Source	RISM_abbrev
I-Fn 26	"Florence, Biblioteca Nazionale Centrale, Panciatichiano 26"	I-Fn 26
FribA	"Fribourg, Bibliothèque des Cordeliers F.3"	CH-Fco 3
FribB	"Fribourg, Bibliothèque Cantonale et Universitaire Z 260"	CH-Fc 260
Fsl	"Florence, San Lorenzo, Archivio Capitolare 2211  [@palimpsest*]"	I-Fsl 2211
GB-BL	"London, British Library, Additional 59846 (M)"	GB-Lbl 59846 (M)
GB-CbA	"Cambridge, University Library Ff.vi.16"	GB-Cu 16
GB-CbB	"Cambridge, University Library Kk.i.6"	GB-Cu 6
GB-CbC	"Cambridge, Gonville and Caius College 334/727"	GB-Cgc 334
GB-CbD	"Cambridge, University Library, Additional 710"	GB-Cu 710
GB-CbE	"Cambridge, University Library, Additional 5963 (8)"	GB-Cu 5963
GB-CbF	"Cambridge, Gonville and Caius College 820/810"	GB-Cb 820
GB-CccA	"Cambridge, Corpus Christi College 65"	GB-Ccc 65
GB-CccB	"Cambridge, Corpus Christi College 8, flyleaf"	GB-Cb 8
GB-Cfw	"Cambridge, Fitzwilliam Museum 47-1980 (olim Bradfer-Lawrence 34[3])"	GB-Cfm
GB-Cgc	"Cambridge, Gonville and Caius College 512/543"	GB-Cgc 512
GB-CgcB	"Cambridge, Gonville and Caius College 230/116"	GB-Cgc 230
GB-CjcA	"Cambridge, St. John's College Library 84 (D.9)"	GB-Cjc 84
GB-CjcB	"Cambridge, St. John's College Library 102 (D.27)"	GB-Cb 102
GB-CjcC	"Cambridge, St. John's College Library 23 (B.1)"	GB-Cjc 23
GB-CuA	"Cambridge, University Library, Additional 5943"	GB-Cu 5943
GB-CuB	"Cambridge, University Library, Additional 4435 (12a-d)"	GB-Cu 4435
GB-DRcA	"Durham, Cathedral Library C.I.8"	GB-DRc 8
GB-DRcB	"Durham, Cathedral Library A.III.11"	GB-DRc 11
GB-DRcC	"Durham, Cathedral Library C.I.20"	GB-DRc 20
GB-DRcCart	"Durham, Dean and Chapter Muniments, Communar's Cartulary (Prior's Kitchen)"	GB-DRc Co/Ca
