ascii,character,arguments,code,pitchcode,scoretype,scorecode,name,lilycode,numspace,whitecode,blackcode,cursneume,hilneume,duration,meitype
158,_,1,D,TRUE,1,1060,Apostropha,,1,,,AP.EPS,HAP.EPS,1.5,uneume
134,¯,2,PE,TRUE,1,986,pressus,,2,Pres,,PE.EPS,HPRS.EPS,0.5,uneume
135,ƒ,2,VS,TRUE,1,1060,virga strata,,2,Virg,,VS.EPS,VS.EPS,1,uneume
136,î,1,OR,TRUE,1,996,oriscus,,1,Oris,,OR.EPS,HOR.EPS,1,uneume
138,_,2,PDR,TRUE,1,1061,pes,,1,Pes,,PDR.EPS,HPDR.EPS,1,uneume
139,_,2,PDL,TRUE,1,1064,pes,,1,Pes,,PDL.EPS,HPD.EPS,1,uneume
137,‹,1,TR,TRUE,1,1060,trac,,1,Trac,,T.EPS,T.EPS,1,uneume
200,‰,2,RSF,FALSE,1,44,semifusa,,1,,,,,0.0312,note
201,ô,2,RF,FALSE,1,44,fusa,,1,,,,,0.0625,note
202,ï,2,RSM,FALSE,14,44,semiminim,,1,,,,,0.125,note
203,_,2,RM,FALSE,14,44,minim,,1,,,,,0.25,note
204,ç,2,RSI,FALSE,14,44,perfect semib rest,,1,,,,,0.3333,rest
205,_,2,RSP,FALSE,14,44,imperfecta rest,,1,,,,,0.5,rest
206,_,2,RBI,FALSE,14,43,imperfecta rest,,1,,,,,1,rest
207,ç,2,RBP,FALSE,14,43,perf breve rest,,1,,,,,1,rest
